dataset,task,representation,model,split_seed,partition,assignment_basis
CASE,valence,wearable_core,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,valence,wearable_core,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,valence,wearable_core,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,valence,wearable_core,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,arousal,cardiovascular,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,arousal,electrodermal_thermal,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,arousal,minimal_pair,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,arousal,wearable_all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,arousal,wearable_all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,arousal,wearable_all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,arousal,wearable_all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,arousal,wearable_all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,arousal,wearable_all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,arousal,wearable_all,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,arousal,wearable_all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,arousal,wearable_all,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,arousal,wearable_all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,valence,cardiovascular,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,valence,cardiovascular,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,valence,cardiovascular,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,valence,cardiovascular,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,valence,cardiovascular,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,valence,cardiovascular,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,valence,cardiovascular,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,valence,cardiovascular,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,valence,cardiovascular,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,valence,cardiovascular,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,valence,electrodermal_thermal,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,valence,minimal_pair,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,valence,minimal_pair,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,valence,minimal_pair,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,valence,minimal_pair,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,valence,minimal_pair,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,valence,minimal_pair,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,valence,minimal_pair,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,valence,minimal_pair,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,valence,minimal_pair,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,valence,minimal_pair,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CEAP,valence,wearable_all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CEAP,valence,wearable_all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CEAP,valence,wearable_all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CEAP,valence,wearable_all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CEAP,valence,wearable_all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CEAP,valence,wearable_all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CEAP,valence,wearable_all,linear_logistic,20260829,audit,stratum_order_and_seed_only
CEAP,valence,wearable_all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CEAP,valence,wearable_all,linear_logistic,20260923,audit,stratum_order_and_seed_only
CEAP,valence,wearable_all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,arousal,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,arousal,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,arousal,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,arousal,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,arousal,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,arousal,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,arousal,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,arousal,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,arousal,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,arousal,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,arousal,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,arousal,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,arousal,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,arousal,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,arousal,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,arousal,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,arousal,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,arousal,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,arousal,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,arousal,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,arousal,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,valence,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,valence,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,valence,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,valence,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,valence,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,valence,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,valence,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,valence,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,valence,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,valence,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,valence,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
DREAMER,valence,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
DREAMER,valence,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
DREAMER,valence,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
DREAMER,valence,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
DREAMER,valence,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
DREAMER,valence,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
DREAMER,valence,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
DREAMER,valence,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
DREAMER,valence,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
DREAMER,valence,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,arousal,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,arousal,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,arousal,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,arousal,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,arousal,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,arousal,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,arousal,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,arousal,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,arousal,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,arousal,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,arousal,baseline_delta,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,arousal,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,arousal,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,arousal,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,arousal,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,arousal,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,arousal,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,arousal,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,arousal,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,arousal,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,arousal,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,arousal,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,valence,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,valence,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,valence,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,valence,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,valence,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,valence,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,valence,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,valence,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,valence,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,valence,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,valence,baseline_delta,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,valence,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
EPPVR,valence,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
EPPVR,valence,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
EPPVR,valence,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
EPPVR,valence,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
EPPVR,valence,relative_power,gpu_mlp,20261007,audit,stratum_order_and_seed_only
EPPVR,valence,relative_power,linear_logistic,20260813,heldout,stratum_order_and_seed_only
EPPVR,valence,relative_power,linear_logistic,20260829,audit,stratum_order_and_seed_only
EPPVR,valence,relative_power,linear_logistic,20260911,heldout,stratum_order_and_seed_only
EPPVR,valence,relative_power,linear_logistic,20260923,audit,stratum_order_and_seed_only
EPPVR,valence,relative_power,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,arousal,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,arousal,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,arousal,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,arousal,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
SEED-IV,arousal,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,arousal,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,arousal,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,arousal,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,arousal,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,arousal,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20261007,audit,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260813,heldout,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260829,audit,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260911,heldout,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260923,audit,stratum_order_and_seed_only
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20261007,heldout,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,gpu_mlp,20260813,audit,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,gpu_mlp,20260911,audit,stratum_order_and_seed_only
SEED-IV,arousal,relative_power,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
